Open time,Open,High,Low,Close,Volume
7/29/2022,1724.52,1765.99,1655.02,1721.68,1205266.57
7/30/2022,1721.68,1744.85,1673.01,1697,735132.5286
7/31/2022,1697,1754.69,1666,1678.12,696326.8079
8/1/2022,1678.12,1704.68,1606.12,1630.28,801566.5648
8/2/2022,1630.28,1678,1559.28,1630.91,1081964.51
8/3/2022,1630.91,1685.03,1589.71,1618.16,777724.7413
8/4/2022,1618.16,1662.79,1580.39,1607.96,735552.181
8/5/2022,1607.97,1742.07,1605.64,1736.81,1005846.471
8/6/2022,1736.81,1749.93,1685.26,1690.6,523314.6444
8/7/2022,1690.6,1729.79,1668,1700.19,439904.764
8/8/2022,1700.2,1818,1693.87,1777.05,781620.5443
8/9/2022,1777.05,1790.83,1667.93,1702.76,818171.1019
8/10/2022,1702.76,1885,1656.78,1853.57,1317767.513
8/11/2022,1853.58,1942,1850.32,1880.19,1105261.901
8/12/2022,1880.19,1964.71,1853.06,1958.28,717628.1015
8/13/2022,1958.28,2020,1946.5,1983.55,695876.0293
8/14/2022,1983.55,2030,1906,1935.31,569583.4852
8/15/2022,1935.32,2012.47,1872.31,1899.06,949162.3305
8/16/2022,1899.05,1915,1853,1876.67,622729.1499
8/17/2022,1876.67,1959.43,1818.74,1834.25,951824.8975
8/18/2022,1834.24,1882.37,1821.25,1846.39,606254.024
8/19/2022,1846.39,1848,1602.37,1609.01,1419826.952
8/20/2022,1609,1657.08,1523.67,1576.04,914615.9226
8/21/2022,1576.03,1646.52,1562.34,1618.13,780662.6062
8/22/2022,1618.13,1629.72,1529.92,1624.66,941192.8954
8/23/2022,1624.65,1676.07,1563.76,1665.41,940246.932
8/24/2022,1665.4,1694.13,1604.92,1656.56,744667.6078
8/25/2022,1656.56,1722,1653.68,1695.11,603090.713
8/26/2022,1695.11,1706.45,1486.85,1508.18,1149912.829
8/27/2022,1508.18,1518.42,1447.52,1491.06,756136.6768
8/28/2022,1491.06,1511,1424,1426.76,544846.4486
8/29/2022,1426.76,1559.99,1422.08,1551.8,826252.0831
8/30/2022,1551.79,1606.13,1473.61,1524.59,1003075.017
8/31/2022,1524.59,1619.78,1524.59,1554.1,949227.6775
9/1/2022,1554.11,1599,1512.77,1586.16,728710.482
9/2/2022,1586.17,1650,1546.41,1575.35,919009.6598
9/3/2022,1575.35,1582.71,1534.28,1557.46,321397.2189
9/4/2022,1557.45,1583.66,1540.66,1579.28,296591.1166
9/5/2022,1579.29,1631.99,1556.56,1617.8,503492.937
9/6/2022,1617.8,1687.4,1555,1559.01,1010722.858
9/7/2022,1559.01,1657.5,1490.66,1630,850991.4243
9/8/2022,1630,1663.56,1595.06,1635.37,645124.0085
9/9/2022,1635.37,1746.13,1630.51,1718.23,837458.2126
9/10/2022,1718.24,1789,1706.03,1774.12,411046.2466
9/11/2022,1774.12,1789,1720.1,1766.11,409287.7263
9/12/2022,1766.12,1783,1693,1716.37,630774.6032
9/13/2022,1716.37,1760.51,1560.54,1574.4,1134549.726
9/14/2022,1574.4,1647.01,1552.38,1638.39,764562.5393
9/15/2022,1638.4,1655.2,1458,1472.75,1335499.805
9/16/2022,1472.76,1483.35,1405.52,1433.9,693597.2425
9/17/2022,1433.9,1476.13,1409.12,1468.83,421391.3743
9/18/2022,1468.82,1469.63,1325.55,1334.51,804113.468
9/19/2022,1334.51,1393.35,1280,1375.98,974855.198
9/20/2022,1375.98,1384.78,1312.71,1322.93,658027.1465
9/21/2022,1322.94,1408.9,1220,1245.78,1192266.738
9/22/2022,1245.79,1350.08,1237.32,1326.46,904282.2725
9/23/2022,1326.47,1360,1262.15,1327.25,974052.3644
9/24/2022,1327.24,1349.33,1306.52,1317.13,517557.3497
9/25/2022,1317.13,1337,1269.27,1294.63,515533.8409
9/26/2022,1294.62,1340.42,1277.85,1336.17,799166.4333
9/27/2022,1336.17,1400,1303.75,1328.02,860584.8944
9/28/2022,1328.01,1355.7,1253.2,1337.2,919314.9131
9/29/2022,1337.2,1352.02,1288.52,1335.7,770591.6895
9/30/2022,1335.69,1373.19,1313.35,1328.72,740753.611
10/1/2022,1328.71,1333.69,1302.68,1311.79,252081.9056
10/2/2022,1311.79,1317.93,1270,1276.72,371740.0407
10/3/2022,1276.72,1329.9,1263.04,1323.09,483775.2435
10/4/2022,1323.1,1369.55,1318.66,1361.49,476207.6702
10/5/2022,1361.5,1364.77,1316.29,1352.2,483508.7782
10/6/2022,1352.2,1383.99,1345.01,1352.06,573975.324
10/7/2022,1352.07,1361.75,1317.26,1331.1,491999.8776
10/8/2022,1331.1,1337.35,1303.51,1315.48,203391.6612
10/9/2022,1315.48,1329,1307.26,1323.13,186201.9185
10/10/2022,1323.13,1338,1288,1290.03,393663.0114
10/11/2022,1290.03,1298,1267.01,1280.11,429430.3941
10/12/2022,1280.11,1306.87,1275.25,1294.44,369712.5759
10/13/2022,1294.44,1301.58,1190,1287.08,945618.3163
10/14/2022,1287.08,1343.12,1283.39,1296.27,669742.8093
10/15/2022,1296.26,1301.69,1263.64,1274.92,287100.9529
10/16/2022,1274.93,1315.35,1274.67,1305.95,293321.3632
10/17/2022,1305.96,1338.57,1295.64,1331.4,459848.4941
