Open time,Open,High,Low,Close
4/22/2023,27262.84,27882.72,27140.35,27816.85
4/23/2023,27816.85,27816.85,27311.25,27590.6
4/24/2023,27590.59,28000,26942.82,27510.93
4/25/2023,27510.93,28399.99,27192,28300.79
4/26/2023,28300.8,30036,27235,28415.29
4/27/2023,28415.29,29890,28378.86,29472.77
4/28/2023,29472.77,29599.54,28891,29311.7
4/29/2023,29311.69,29448.88,29031,29230.45
4/30/2023,29230.45,29969.39,29079.59,29233.21
5/1/2023,29233.2,29337.34,27666.95,28068.26
5/2/2023,28068.26,28879.88,27872,28669.86
5/3/2023,28669.85,29266.66,28113.69,29026.16
5/4/2023,29026.16,29379.83,28663.64,28838.16
5/5/2023,28838.16,29677,28800,29505.61
5/6/2023,29505.6,29820,28300,28848.2
5/7/2023,28848.19,29138.29,28395.23,28430.1
5/8/2023,28430.09,28631.01,27262,27668.79
5/9/2023,27668.8,27818,27353,27628.27
5/10/2023,27628.28,28331.42,26777,27598.75
5/11/2023,27598.74,27630.14,26702.05,26968.62
5/12/2023,26968.61,27091.12,25811.46,26795.01
5/13/2023,26795.01,27045.45,26692.03,26775.28
5/14/2023,26775.27,27200,26560.53,26917.62
5/15/2023,26917.61,27663.59,26726,27162.14
5/16/2023,27162.15,27296.89,26852.11,27033.84
5/17/2023,27033.85,27500,26544.71,27405.61
5/18/2023,27405.62,27485.33,26361.2,26821.28
5/19/2023,26821.28,27183.6,26630,26880.26
5/20/2023,26880.26,27150,26825.11,27102.43
5/21/2023,27102.42,27277.55,26666.03,26747.78
5/22/2023,26747.78,27099.89,26538.21,26849.27
5/23/2023,26849.28,27495.83,26798.11,27219.61
5/24/2023,27219.61,27219.61,26080.5,26329.01
5/25/2023,26329,26631.98,25871.89,26473.79
5/26/2023,26473.8,26932.16,26327.24,26705.92
5/27/2023,26705.93,26895,26551,26854.27
5/28/2023,26854.28,28261.32,26764.36,28065
5/29/2023,28065.01,28447.14,27524.6,27736.4
5/30/2023,27736.39,28038.59,27554,27694.4
5/31/2023,27694.39,27835.51,26839.01,27210.35
6/1/2023,27210.36,27350,26605.05,26817.93
6/2/2023,26817.93,27300,26505,27242.59
6/3/2023,27242.59,27333.29,26914.93,27069.22
6/4/2023,27069.22,27455.02,26951,27115.21
6/5/2023,27115.2,27129.33,25388,25728.2
6/6/2023,25728.2,27355.33,25351.02,27230.08
6/7/2023,27230.07,27391.77,26125.01,26339.34
6/8/2023,26339.34,26810,26210,26498.61
6/9/2023,26498.62,26783.33,26269.91,26477.81
